uid	name	q	description	common_name	last_updated	family	short_description
1180	Panorpa trifasciata	provide a complete scientific and natural history summary of Panorpa trifasciata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa trifasciata is a north american scorpionfly distinguished by three dark bands across its wings. It inhabits grassy habitats near forests and plays a role in decomposition by feeding on carrion and decaying material.	Three-banded scorpionfly	2025-07-09 19:57:28	Panorpidae	North American scorpionfly distinguished by three dark bands across its wings

1181	Panorpa vulgaris	provide a complete scientific and natural history summary of Panorpa vulgaris, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Trimerotropis pallidipennis, known as the pallid-winged grasshopper, is a North American species common in arid and semi-arid habitats. It is well camouflaged against sandy or rocky terrain and uses short flights to escape predators. This grasshopper feeds on a variety of grasses and herbaceous plants and can occasionally reach pest status during population outbreaks. Adults are active during warm seasons and are often seen basking on open ground.	Meadow scorpionfly	2025-07-09 19:57:28	Panorpidae	Arid-region grasshopper with cryptic coloration; feeds on grasses and escapes by short flights.

1182	Pantala flavescens	provide a complete scientific and natural history summary of Pantala flavescens, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pantala flavescens, the globe skimmer, is a migratory dragonfly found on every continent except antarctica. It undertakes long-distance flights across oceans and breeds in temporary freshwater pools. Its strong flying ability and broad range make it one of the most widespread insect species.	Wandering glider	2025-07-09 19:57:28	Libellulidae	The globe skimmer, is a migratory dragonfly found on every continent except Antarctica

1183	Papilio machaon	provide a complete scientific and natural history summary of Papilio machaon, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Papilio machaon, known as the old world swallowtail, is a striking butterfly found across europe, asia, and north america. Its large yellow wings with black markings and tail-like extensions make it easily recognizable. Larvae feed on plants in the carrot family, and adults are strong fliers often seen in open meadows.	Old world swallowtail	2025-07-09 19:57:28	Papilionidae	Known as the Old World swallowtail, is a striking butterfly found across Europe, Asia, and North America

1184	Parabuthus transvaalicus	provide a complete scientific and natural history summary of Parabuthus transvaalicus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Parabuthus transvaalicus is a large, highly venomous scorpion native to southern africa. It inhabits arid and semi-arid regions, using its strong pincers and thick tail to subdue prey. It can produce a hissing sound by rubbing body parts, and its venom can affect the nervous system.	Transvaal thick tailed scorpion	2025-07-09 19:57:28	Buthidae	This desert-dwelling scorpion from southern Africa uses its powerful sting for defense and hunting, hiding under rocks during the day and emerging at night.

1185	Paraceras melis	provide a complete scientific and natural history summary of Paraceras melis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Paraceras melis is a flea species that primarily parasitizes badgers. It is adapted for a parasitic lifestyle, with powerful hind legs for jumping and specialized mouthparts for blood-feeding. Its presence can indicate the health and population density of badger hosts.	Badger flea	2025-07-09 19:57:28	Ceratophyllidae	This specialized flea lives on badgers and related mammals, feeding on blood and residing in nests or burrows where hosts are commonly found.

1186	Paracinema tricolor	provide a complete scientific and natural history summary of Paracinema tricolor, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Paracinema tricolor, the band-winged grasshopper, is found in moist meadows and marshy areas across europe and north africa. It is known for its colorful hindwings and its ability to swim. The species is polyphagous, feeding on various grasses and sedges.	Tricolored grasshopper	2025-07-09 19:57:28	Acrididae	The band-winged grasshopper, is found in moist meadows and marshy areas across Europe and North Africa
